country,paxp_dom,paxp_int_dep,paxp_int_arr,paxp_int,paxp_tot,year
NU,0.0,7.318718381112985,0.0030152349171911333,7.321733616030176,7.321733616030176,2015
NZ,2.0607792018645745,1.2031250778874596,13.916411689977728,15.119536767865188,17.18031596972976,2015
OM,0.09933176340147123,0.830405780790199,0.3282062006567309,1.15861198144693,1.2579437448484012,2015
PA,0.09351735527590034,0.522599926515801,0.1555685603467321,0.6781684868625331,0.7716858421384334,2015
PE,0.2887257695944526,0.1074497333998739,0.1440990130486176,0.2515487464484915,0.5402745160429441,2015
PG,0.21388292174325188,0.039928877673120505,0.06729559426623419,0.10722447193935469,0.32110739368260655,2015
PH,0.2004760818114445,0.09821524204724896,1.5942776188170624,1.6924928608643115,1.8929689426757559,2015
PK,0.014577473158767887,0.029897333658022524,0.568409563099345,0.5983068967573675,0.6128843699161354,2015
PL,0.024873652581223267,0.3065064745979976,1.0540414825639648,1.3605479571619625,1.3854216097431857,2015
PT,0.2396764712036826,1.3310217567204392,1.1977087461482094,2.5287305028686484,2.768406974072331,2015
PW,0.0,6.258581879572313,0.025537319871092326,6.284119199443405,6.284119199443405,2015
PY,0.0016065651118352786,0.08243424407742492,0.023087507345531232,0.10552175142295615,0.10712831653479143,2015
QA,0.0,2.2620455397494363,0.6277213141926035,2.8897668539420396,2.8897668539420396,2015
RO,0.019101989686588293,0.28534716815478867,0.3804757738989228,0.6658229420537114,0.6849249317402997,2015
RS,2.8283801616022175e-05,0.308650816684322,0.4460022219521979,0.7546530386365199,0.7546813224381359,2015
RU,0.24313440666454814,0.1432433314438246,2.664487942372059,2.8077312738158833,3.0508656804804315,2015
RW,0.0010273176459632122,0.027172457234187354,0.024656297697454782,0.051828754931642136,0.05285607257760535,2015
SA,0.47188811533154795,0.6665258156664076,1.0719015582108173,1.738427373877225,2.2103154892087726,2015
SB,0.18335040623069523,0.12693008453039104,0.05122758919941536,0.1781576737298064,0.3615080799605016,2015
SC,1.1425347384127575,3.6179147626597037,0.03267226699788006,3.6505870296575837,4.793121768070341,2015
SD,0.009459222307014875,0.03812341421859528,0.11803265916526029,0.15615607338385556,0.16561529569087044,2015
SE,0.6471072654656644,1.202148542137227,1.4018659950057237,2.604014537142951,3.2511218026086155,2015
SG,0.0,3.8223097583135157,1.212857697220961,5.035167455534477,5.035167455534477,2015
SI,4.854493829210169e-07,0.2914725475946711,0.07917831885341228,0.3706508664480834,0.37065135189746634,2015
SK,0.0021522881298708294,0.14382306590178584,0.04200459503506214,0.185827660936848,0.18797994906671883,2015
SL,0.0,0.01133644658625636,0.004389584823141392,0.015726031409397753,0.015726031409397753,2015
SN,0.0024574240423535956,0.0685908562336355,0.11514418214206602,0.18373503837570154,0.18619246241805515,2015
SO,0.002947570515864313,0.014715689850426206,0.025188422553702246,0.03990411240412845,0.042851682919992765,2015
SR,0.0,0.3897807357636424,0.04581052143541403,0.43559125719905645,0.43559125719905645,2015
SS,0.0,0.022186056670221603,0.009706269014483534,0.03189232568470514,0.03189232568470514,2015
ST,0.018083688233620082,0.2607406223944161,0.01570226290161368,0.2764428852960298,0.29452657352964984,2015
SV,0.0,0.16456699865905006,0.05891069893291198,0.22347769759196204,0.22347769759196204,2015
SY,9.575477880697576e-06,0.002505428935590908,0.004374029359408653,0.006879458294999561,0.006889033772880258,2015
SZ,0.0,0.025502882363853376,0.0027488007196836495,0.028251683083537024,0.028251683083537024,2015
TD,0.0,0.012225056888077596,0.009403124067514772,0.021628180955592366,0.021628180955592366,2015
TG,0.0,0.023132384973580212,0.013979217083016564,0.037111602056596776,0.037111602056596776,2015
TH,0.34324247408892966,0.3818117020087454,2.2231496453637645,2.6049613473725097,2.9482038214614392,2015
TJ,0.0018814554642381165,0.12446158188953059,0.02030293645099971,0.1447645183405303,0.14664597380476843,2015
TL,0.0,0.08129572635671974,0.005241691296558881,0.08653741765327862,0.08653741765327862,2015
TM,0.08862892288485578,0.08041529850686237,0.01551263905359776,0.09592793756046013,0.1845568604453159,2015
TN,0.013251666511141997,0.25247661341642325,0.24375684972272268,0.49623346313914596,0.5094851296502879,2015
TO,0.08127621471322871,1.016004524247137,0.03897569016198893,1.0549802144091258,1.1362564291223545,2015
TR,0.3652557234009862,0.3040897252446084,2.57966069498169,2.8837504202262982,3.2490061436272843,2015
TT,0.48559601675916675,0.6465853337699449,1.2416601913697738,1.8882455251397188,2.3738415418988854,2015
TV,0.0,0.5884338228587066,0.006839841237373441,0.5952736640960801,0.5952736640960801,2015
TW,0.08896928903908301,0.9130199367986762,2.674507161399532,3.5875270981982084,3.6764963872372913,2015
TZ,0.022862110854466704,0.023132367294553306,0.13511031282336491,0.15824268011791823,0.18110479097238494,2015
UA,0.004959736066671419,0.1091382406984172,0.32977408437352096,0.43891232507193817,0.4438720611386096,2015
UG,0.00035143863095495975,0.01856070240405872,0.04949351337252882,0.06805421577658755,0.06840565440754251,2015
US,1.4846544008351459,0.2977569896750829,17.299403803622596,17.59716079329768,19.081815194132826,2015
UY,8.016586614616257e-06,0.31702690336776806,0.03694636149735744,0.3539732648651255,0.35398128145174007,2015
UZ,0.014691401891929669,0.04813741404451332,0.04001036751698409,0.08814778156149741,0.10283918345342707,2015
VC,0.0,0.9646970830216903,0.3298759179095937,1.2945730009312841,1.2945730009312841,2015
VE,0.17649833001744097,0.06007587107098808,0.21480410542236528,0.2748799764933534,0.45137830651079436,2015
VN,0.2056222247929382,0.09657521810213635,0.7467557171434495,0.8433309352455858,1.048953160038524,2015
VU,0.6515345677017373,0.48643560151972365,0.04488073008492033,0.531316331604644,1.1828508993063813,2015
WS,0.011705702193456305,0.8356890109127673,0.08060641109476158,0.9162954220075288,0.9280011242009851,2015
YE,0.007615588231074824,0.01851846919028778,0.054633384156072766,0.07315185334636054,0.08076744157743536,2015
ZA,0.2115114048688466,0.0980609160532426,0.8361129658540759,0.9341738819073185,1.145685286776165,2015
ZM,0.0093326525638101,0.032786821267937506,0.0341985605012942,0.06698538176923172,0.07631803433304182,2015
ZW,0.013590445400667393,0.04432289907648531,0.035706019627049515,0.08002891870353482,0.09361936410420221,2015
AE,0.003797085840981265,3.288368245240521,3.0486105153740515,6.336978760614572,6.3407758464555535,2016
AF,0.014572480738956419,0.017409894672751013,0.030529038132810455,0.04793893280556147,0.06251141354451789,2016
AG,0.07628183040825173,4.025664395514011,0.8236431493999287,4.849307544913939,4.925589375322191,2016
AL,0.0,0.39493958657853745,0.04619261744938747,0.4411322040279249,0.4411322040279249,2016
AM,4.3168543698900095e-05,0.3692657784453294,0.038418141551239425,0.4076839199965688,0.4077270885402677,2016
AO,0.028472021620754774,0.029560769309054873,0.1315436577272376,0.1611044270362925,0.18957644865704726,2016
AR,0.20969019059157962,0.14467495937899122,0.2884258196179758,0.43310077899696703,0.6427909695885466,2016
AT,0.019390895883056772,1.2177878818917327,0.9508187617804057,2.1686066436721383,2.187997539555195,2016
AU,2.1989532413181228,0.7894624007443007,6.849265690382492,7.638728091126792,9.837681332444914,2016
AZ,0.0036438427680680245,0.14569027610071228,0.0700083999975261,0.2156986760982384,0.21934251886630643,2016
BA,0.0,0.18747262815494256,0.05727870349470136,0.2447513316496439,0.2447513316496439,2016
BB,0.0,2.6749690627257703,1.0931812750981194,3.7681503378238896,3.7681503378238896,2016
BD,0.008719004756438099,0.025067163548535696,0.43607437531878024,0.46114153886731596,0.46986054362375407,2016
BE,0.00048576239680196275,1.1854875549968185,1.1373616316494493,2.322849186646268,2.32333494904307,2016
BF,0.000176779180563848,0.013776518428686511,0.015198507579937933,0.028975026008624442,0.02915180518918829,2016
BG,0.017646182342761784,0.4553417120383016,0.26663293573768826,0.7219746477759899,0.7396208301187517,2016
BH,0.0,2.1264140279406045,0.31090287639029923,2.4373169043309035,2.4373169043309035,2016
BI,0.0,0.008294177357951023,0.006971043768155846,0.015265221126106869,0.015265221126106869,2016
BJ,0.0,0.03191101401437975,0.05479962480661439,0.08671063882099414,0.08671063882099414,2016
BN,0.0,1.4994924736413733,0.032330545590706264,1.5318230192320796,1.5318230192320796,2016
BO,0.24467067142992588,0.07441203146327108,0.03420626069406635,0.10861829215733743,0.3532889635872633,2016
BR,0.3766779569659819,0.04860854087052502,0.5671391212463013,0.6157476621168263,0.9924256190828082,2016
BS,2.1490119982682914,4.42659564598924,0.07145123029019951,4.498046876279439,6.64705887454773,2016
BT,0.00807497599837404,0.12468677543838066,0.00232644662890796,0.12701322206728863,0.13508819806566266,2016
BW,0.04456822518230015,0.1233125825586099,0.02053341790420156,0.14384600046281146,0.18841422564511162,2016
BY,8.948250059163724e-06,0.10300393807221427,0.07461427432507478,0.17761821239728903,0.1776271606473482,2016
BZ,2.775728328374988,1.0202602103069602,0.027915692227364453,1.0481759025343247,3.8239042309093128,2016
CA,0.8357670434875825,0.7673788350083787,3.011611125775513,3.7789899607838917,4.614757004271474,2016
CD,0.0055608734603544,0.005669679916656756,0.02834684170593882,0.03401652162259557,0.039577395082949975,2016
CF,0.0,0.02033789425805488,0.005399602523645467,0.025737496781700345,0.025737496781700345,2016
CG,0.08731313675961257,0.08391861731541918,0.03789758737860417,0.12181620469402335,0.20912934145363593,2016
CH,0.04099463384701503,2.6437118480564723,1.9700332899821331,4.613745138038605,4.6547397718856205,2016
CI,0.0030572843048927052,0.03143623334200994,0.07367585166701535,0.10511208500902529,0.10816936931391799,2016
CK,4.235979690745442,9.825871220863144,0.0351017244909988,9.860972945354142,14.096952636099584,2016
CL,0.4671247476559242,0.20500885164744004,0.1554772357826168,0.36048608743005683,0.827610835085981,2016
CM,0.014004380715217228,0.03347977358900196,0.10272298732720771,0.13620276091620967,0.1502071416314269,2016
CN,0.2723227130419994,0.04381803900923853,5.781400737872858,5.825218776882096,6.097541489924096,2016
CO,0.39546658770805687,0.10557564654739904,0.27686901807967257,0.3824446646270716,0.7779112523351285,2016
CR,0.07429672253820528,0.5928708004400248,0.1534477196109969,0.7463185200510217,0.820615242589227,2016
CU,0.05809067452349682,0.32331958530082516,0.19385872056247033,0.5171783058632955,0.5752689803867923,2016
CV,0.721828334185276,1.1129695602804779,0.06548434352268995,1.1784539038031678,1.9002822379884439,2016
CY,0.003285070389746442,3.8138850807364255,0.27197150039329215,4.085856581129717,4.089141651519464,2016
CZ,0.00048101262938252256,0.6077900308660849,0.4934530801885634,1.1012431110546483,1.101724123684031,2016
DE,0.2069480291360685,0.8478907142961231,6.681063493912582,7.528954208208705,7.7359022373447734,2016
DJ,0.0,0.1968056758858694,0.015000355988499409,0.2118060318743688,0.2118060318743688,2016
DK,0.2538210513213485,2.1607708947364106,1.4755695739763937,3.6363404687128043,3.8901615200341526,2016
DM,0.0,1.0429991667384995,0.2734375647043801,1.3164367314428795,1.3164367314428795,2016
DO,0.0007237881500422218,0.5353396648605923,0.2749332435607391,0.8102729084213314,0.8109966965713736,2016
